Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Screw_Terminal_01x02","1984617_PHOENIX",193.825000,-73.465000,-90.000000,top
"J2","Screw_Terminal_01x02","1984617_PHOENIX",193.800000,-82.210117,-90.000000,top
"J3","Conn_01x04_Pin","47053-1000_MOL",226.247150,-81.000000,-90.000000,top
"J4","Screw_Terminal_01x02","1984617_PHOENIX",228.522150,-78.152600,90.000000,top
"Q1","NMOS","BSC014N04LSIATMA1",207.725000,-87.220000,180.000000,top
"Q2","NMOS","DIO_RB558WMF_ROM-L",217.000000,-84.000000,180.000000,top
"Q3","NMOS","DIO_RB558WMF_ROM-L",217.550000,-77.000000,180.000000,top
"R1","3m","WSHP28183L000FEA_Vishay_Dale",206.900000,-78.680000,-90.000000,top
"R2","1k","R0603",213.500000,-84.000000,-90.000000,top
"R3","1k","R0603",215.540000,-81.000000,0.000000,top
